Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,2025학년도 2학기 복수전공 및 연계전공 이수 예상자 선발을 위한 여석 현황,,,,,,,
,,,,,,,,
,"※ 학년기준: 2025학년도 2학기
※ 연계전공 관련(연계전공은 붉은색음영으로 표시)
   - 자동차부품소재전공 신청자격은 4학기 이상 등록을 마친 자이어야 하며, 3학년부터 이수 가능
   - 통합사회 및 통합과학 연계전공: 2017학년도 이후 입학자만 이수 신청(관련: 교육부 고시(2016-104호, 2016.12.8.) 부칙 제3조)
     공통사회 및 공통과학 연계전공: 2016학년도 이전 입학자만 이수 신청
   - 통합사회 연계전공 참여학과 중 윤리교육과 소속 학생은 2018학년도 이후 입학자부터 통합사회 연계전공 이수 신청 가능(관련: 학사지원과-4035,2017.7.3.)
   - 연계전공은 복수전공으로만 이수가능하며, 연계전공 중 교원자격증은 통합(공통)과학,통합(공통)사회전공에 대하여만 발급 가능",,,,,,,
, ,,,,,25-2학기 여석,,
,전공대학,전 공,배정정원(A),,,여석현황(25-1학기 여석-25-1학기 선발+25-1학기 포기),,
,,,2학년,3학년,4학년,2학년,3학년,4학년
,,교육학과,14,14,14,10,10,13
,,교육행정전공,60,60,60,59,59,60
,,국어교육과,31,31,31,2,10,21
,,기술.가정교육과,14,14,14,3,2,3
,,문헌정보교육과,23,23,23,5,1,5
,,물리교육과,18,18,18,17,18,18
,,미술교육과,22,22,22,21,15,17
,,상업정보교육과(경영·금융교육과),18,18,18,16,16,17
,,생물교육과,18,18,18,6,18,10
,,수학교육과,31,31,31,27,30,28
,,역사교육과,19,19,19,13,5,5
,,영어교육과,36,36,36,24,22,28
,,유아교육과,32,32,32,26,26,29
,,윤리교육과,17,17,17,0,0,1
,,음악교육과,22,22,22,21,14,22
,,일반사회교육과,18,18,18,0,0,4
,,지구과학교육과,18,18,18,16,8,10
,,지리교육과,19,19,19,4,6,7
,,체육교육과,18,18,18,1,1,3
,,컴퓨터교육과,17,17,17,5,0,1
,,통합과학전공,71,71,71,69,69,70
,,통합사회전공,56,56,56,54,56,56
,,특수교육과,46,46,46,37,43,33
,,한문교육과,22,22,22,22,22,20
,,화학교육과,17,17,17,15,17,14
,,환경교육과,18,18,18,16,18,17
,소                         계,,695,695,695,489,486,512
,"인문사회
과학대학",경영학과㈜,29,29,29,26,6,3
,,경제통상학부 경제학전공,26,26,26,24,22,25
,,경제통상학부 국제통상학전공,26,26,26,26,15,20
,,관광경영학과,34,34,34,33,34,26
,,관광&영어통역융복합학과,34,34,34,32,18,29
,,국제의료관광전공,60,60,60,60,60,60
,,금융학전공,60,60,60,60,59,60
,,독어독문학과,24,24,24,23,22,23
,,법학과㈜,31,31,31,26,22,31
,,불어불문학과,24,24,24,22,22,24
,,사학과,23,23,23,21,20,19
,,사회복지학과㈜,31,31,31,29,21,26
,,영어영문학과,32,32,32,32,28,31
,,유럽통상전공,60,60,60,58,60,60
,,중국경제전공,60,60,60,60,60,60
,,중어중문학과,36,36,36,36,36,33
,,지리학과,24,24,24,23,22,24
,,행정학과(주),33,33,33,24,13,27
,소계,,647,647,647,615,540,581
,자연과학대학,대기과학과,32,32,32,31,30,31
,,디지털헤리티지전공,60,60,60,60,60,60
,,문화재보존과학과,19,19,19,18,17,18
,,데이터정보물리학과,34,34,34,32,34,34
,,생명과학과,35,35,35,34,32,33
,,생활체육지도학과,17,17,17,16,16,16
,,응용수학과,33,33,33,32,32,33
,,의류상품학과,19,19,19,17,15,14
,,지질환경과학과,31,31,31,30,31,31
,,화학과,33,33,33,32,32,32
,소                         계,,313,313,313,302,299,302
,천안공과대학,건설환경공학부 도시교통공학전공(전),0,0,0,0,0,0
,,건설환경공학부 토목환경공학전공(전),0,0,0,0,0,0
,,사회환경공학과(현) → 스마트인프라공학과,44,44,44,44,44,44
,,도시융합시스템공학과(현),25,25,25,25,25,25
,,건축학부 건축공학전공(전),0,0,32,0,0,0
,,건축학부 건축학전공,0,0,32,0,0,32
,,그린스마트건축공학과(현),32,32,0,32,32,32
,,광공학과,27,27,27,27,27,27
,,금형설계공학과 → 디지털융합금형공학과,19,19,19,19,19,19
,,기계자동차공학부 기계공학전공,40,40,40,40,40,40
,,기계자동차공학부 기계설계공학전공,40,40,40,40,40,40
,,기계자동차공학부 기계시스템공학전공,40,40,40,40,40,40
,,미래자동차공학과,30,30,30,30,30,29
,,산업디자인공학부 시각정보디자인정보전공(디자인컨버전스학과),19,19,19,18,19,17
,,산업디자인공학부 제품디자인전공(디자인컨버전스학과),18,18,18,18,17,18
,,산업시스템공학과,28,28,28,28,28,28
,,신소재공학부 고분자공학전공,21,21,21,21,21,21
,,신소재공학부 나노재료공학전공,25,25,25,25,25,25
,,신소재공학부 금속재료공학전공(신소재시스템공학전공),27,27,27,27,27,27
,,자동차부품소재전공,40,40,40,40,40,40
,,전기전자제어공학부 전기공학전공,58,58,58,58,58,58
,,전기전자제어공학부 전자공학전공,30,30,30,30,30,30
,,전기전자제어공학부 반도체정보공학전공(나노정보공학전공),30,30,30,30,30,30
,,전기전자제어공학부 제어계측공학전공,30,30,30,30,30,30
,,정보통신공학부 정보통신공학전공,0,0,29,0,0,29
,,스마트정보기술공학과,28,28,0,28,28,0
,,정보통신공학과,30,30,0,30,30,0
,,지능형모빌리티공학과,25,25,0,25,25,0
,,컴퓨터공학부 컴퓨터공학전공(전),0,0,45,0,0,45
,,컴퓨터공학부 컴퓨터소프트웨어전공(전),0,0,44,0,0,44
,,컴퓨터공학과(현),45,45,45,44,45,0
,,소프트웨어학과(현),44,44,44,44,44,0
,,화학공학부 공업화학전공,34,34,34,34,34,34
,,화학공학부 화학공학전공,34,34,34,34,34,34
,,환경공학과,32,32,32,32,32,32
,소                         계,,895,895,962,893,894,870
,산업과학대학,농산업창업전공,60,60,60,60,60,56
,,동물자원학과,31,31,31,31,31,30
,,산림자원학과(전),0,0,0,0,0,0
,,산림과학과(후),32,32,32,30,30,30
,,산업유통학과,18,18,18,17,18,18
,,생물산업공학부 생물산업기계공학전공(전),0,0,0,0,0,0
,,생물산업공학부 지역건설공학전공(전),0,0,0,0,0,0
,,지역건설공학과,24,24,24,24,23,24
,,스마트팜공학과,24,24,24,23,23,24
,,스마트수산자원학과,25,25,25,25,25,0
,,식물자원학과(주),30,30,30,30,30,30
,,식품공학과(주),23,23,23,20,21,19
,,식품과학부 식품영양학전공,0,0,0,0,0,0
,,식품과학부 외식상품학전공,0,0,0,0,0,0
,,식품영양학과,25,25,25,25,24,25
,,외식상품학과,18,18,18,18,18,18
,,원예학과(주),32,32,32,30,31,31
,,조경학과,24,24,24,21,24,21
,,지역개발학부 부동산학전공(전),0,0,0,0,0,0
,,지역개발학부 지역사회개발학전공(전),0,0,0,0,0,0
,,지역사회개발학과(후),18,18,18,18,18,17
,,부동산학과(후),18,18,18,18,18,18
,,특수동물학과,25,25,25,25,18,18
,소                         계,,427,427,427,415,412,379
,예술대학,게임디자인학과,31,31,31,30,31,31
,,만화애니메이션학부 애니메이션전공,17,17,17,17,17,17
,,만화애니메이션학부 카툰코믹스전공,18,18,18,18,18,15
,,무용학과,22,22,22,22,21,22
,,영상학과,31,31,31,25,13,23
