Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,2025학년도 2학기 부전공 이수 예정자 선발을 위한 여석 현황,,,,,,,
,,,,,,,,
,"※ 학년기준: 2025학년도 2학기
※ 부전공으로는 연계전공 이수가 불가하며, 사범대학 및 교직과정이 설치된 학과의 교원자격증도 취득 불가
※ 연계전공은 붉은색음영으로 표시
※ 부전공 미선발 학과: 문헌정보교육과, 유아교육과, 특수교육과",,,,,,,
,,,,,,25-2학기 여석,,
,전공대학,전 공,배정정원(A),,,여석현황(25-1학기 여석-25-1학기 선발+25-1학기 포기),,
,,,2학년,3학년,4학년,2학년,3학년,4학년
,,교육학과,14,14,14,14,14,11
,,교육행정전공,0,0,0,0,0,0
,,국어교육과,31,31,31,31,30,30
,,기술.가정교육과,14,14,14,14,14,14
,,문헌정보교육과,0,0,0,0,0,0
,,물리교육과,18,18,18,18,18,18
,,미술교육과,22,22,22,22,22,22
,,상업정보교육과,18,18,18,18,18,18
,,생물교육과,18,18,18,18,18,18
,,수학교육과,31,31,31,31,31,31
,,역사교육과,19,19,19,19,19,19
,,영어교육과,36,36,36,36,36,36
,,유아교육과,0,0,0,0,0,0
,,윤리교육과,17,17,17,17,16,16
,,음악교육과,22,22,22,22,22,22
,,일반사회교육과,18,18,18,18,18,17
,,지구과학교육과,18,18,18,18,17,17
,,지리교육과,19,19,19,18,19,19
,,체육교육과,18,18,18,18,18,18
,,컴퓨터교육과,17,17,17,12,7,2
,,통합과학전공,0,0,0,0,0,0
,,통합사회전공,0,0,0,0,0,0
,,특수교육과,0,0,0,0,0,0
,,한문교육과,22,22,22,22,22,22
,,화학교육과,17,17,17,17,17,17
,,환경교육과,18,18,18,18,18,17
,소                         계,,407,407,407,401,394,384
,"인문사회
과학대학",경영학과,29,29,29,28,23,26
,,경제통상학부 경제학전공,26,26,26,26,25,26
,,경제통상학부 국제통상학전공,26,26,26,26,26,26
,,관광경영학과,34,34,34,34,31,34
,,관광&영어통역융복합학과,34,34,34,34,33,34
,,국제의료관광전공,0,0,0,0,0,0
,,금융학전공,0,0,0,0,0,0
,,독어독문학과,24,24,24,24,23,24
,,법학과(주),31,31,31,31,30,31
,,불어불문학과,24,24,24,24,24,23
,,사학과,23,23,23,22,23,22
,,사회복지학과(주),31,31,31,31,30,31
,,영어영문학과,32,32,32,32,32,31
,,유럽통상전공,0,0,0,0,0,0
,,중국경제전공,0,0,0,0,0,0
,,중어중문학과,36,36,36,36,35,36
,,지리학과,24,24,24,24,24,24
,,행정학과(주),33,33,33,33,32,32
,소                         계,,407,407,407,405,391,400
,자연과학대학,대기과학과,32,32,32,32,31,31
,,디지털헤리티지전공,0,0,0,0,0,0
,,문화재보존과학과,19,19,19,19,19,19
,,데이터정보물리학과,34,34,34,34,34,34
,,바이오의과학전공,0,0,0,0,0,0
,,생명과학과,35,35,35,35,35,33
,,생활체육지도학과,17,17,17,17,17,17
,,응용수학과,33,33,33,33,33,31
,,의류상품학과,19,19,19,19,18,18
,,지질환경과학과,31,31,31,31,30,31
,,화학과,33,33,33,33,33,32
,소                         계,,253,253,253,253,250,246
,천안공과대학,건설환경공학부 도시교통공학전공(전),0,0,17,0,0,17
,,건설환경공학부 토목환경공학전공(전),0,0,52,0,0,52
,,사회환경공학과(현) → 스마트인프라공학과,44,44,44,44,44,0
,,도시융합시스템공학과(현),25,25,25,25,24,0
,,건축학부 건축공학전공(전),32,32,32,32,32,32
,,그린스마트건축공학과,32,32,32,32,32,31
,,광공학과,27,27,27,27,27,27
,,금형설계공학과 → 디지털융합금형공학과,19,19,19,19,19,19
,,기계자동차공학부 기계공학전공,40,40,40,40,40,40
,,기계자동차공학부 기계설계공학전공,40,40,40,40,40,40
,,기계자동차공학부 기계시스템공학전공,40,40,40,40,39,40
,,기계자동차공학부 자동차공학전공,39,39,39,39,39,39
,,미래자동차공학과,30,30,30,30,30,0
,,산업디자인공학부 제품디자인전공(디자인컨버전스학과),19,19,19,19,19,19
,,산업디자인공학부 시각정보디자인디자인전공(디자인컨버전스학과),18,18,18,18,18,18
,,산업시스템공학과,28,28,28,28,28,28
,,신소재공학부 고분자공학전공,21,21,21,21,21,21
,,신소재공학부 나노재료공학전공,25,25,25,25,25,25
