국립공주대학교 부분공개 기록물 공개재분류 목록,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"생산
기관","생산
년도",단위업무,기록물철제목,문서제목,보존기간,공개구분,"공개
제한
유형",공개재분류 결과,,
,,,,,,,,"생산기관
의견
(공개, 
부분공개, 
비공개)","비공개사유
(1호~8호)","비공개 
대상정보"
,,,,,,,,,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),교육과학기술부 교육과정심의회 위원 임기연장 동의 요청,5년,부분공개,8호,공개,,
교무처 교무과,2008,교원인사(복무)관리,신원 및 비위여부사실 조회,신원조사 회보,5년,부분공개,6호,부분공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년 제4차 국제교육진흥원운영심의회 참석 요청,5년,부분공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),고등학교 학과 개편 및 신설 승인 신청에 따른 중·고등학교 교육과정위원회 참석 협조,5년,부분공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년도 충청남도학교체육발전위원회 개최 알림,5년,부분공개,1호,공개,,
교무처 교무과,2008,부설학교교원인사(복무)관리,부설학교 일반문서,2007.03.01자 유치원교사 전입 동의 및 전출교원 추천자 명단 통보,5년,부분공개,8호,공개,,
교무처 교무과,2008,학생정원관리,대학정원조정,2009학년도 사범대학·교육대학원 정원조정 및 2008학년도 교직과정 승인결과 통보,10년,부분공개,5호,공개,,
교무처 교무과,2008,교원상벌,교육공무원 징계,공무원수사개시통보,준영구,부분공개,8호,부분공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원임용(위촉),조교 임용 및 면직,신원조사 회보,준영구,부분공개,6호,부분공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원임용(위촉),조교 임용 및 면직,신원조사회보,준영구,부분공개,6호,부분공개,6호,"성명, 생년월일 등"
사무국 총무과,2008,복무,초과근무,초과근무 관리 철저,3년,부분공개,6호,공개,,
사무국 총무과,2008,복무,공직기강 및 반부패,전환기 공직기강 확립 철저,3년,부분공개,5호,공개,,
사무국 총무과,2008,처리과서무,일반서무(외부),농림수산식품부 식품포털사이트 구축 알림 및 소장자료 제공 협조 요청,3년,부분공개,2호,공개,,
사무국 총무과,2008,인사관리,일반서무,e-사람 확대조직개편에 따른 기관별 사용자 등록 안내,5년,부분공개,5호,공개,,
사무국 총무과,2008,처리과감사,감사일반(외부),자체감사기구의 특정분야 점검 및 결과 보고 통보,5년,부분공개,5호,공개,,
사무국 총무과,2008,교육훈련,교육훈련,2008년도 농업연수원 교육수료자 알림,10년,부분공개,6호,부분공개,6호,성명 등 개인정보
사무국 총무과,2008,교육훈련,교육훈련,2008년도 농업연수원 교육수료자 알림,10년,부분공개,6호,부분공개,6호,성명 등 개인정보
사무국 총무과,2008,교육훈련,교육훈련,2008년도 농업연수원 교육수료자 알림,10년,부분공개,6호,부분공개,6호,성명 등 개인정보
