국립공주대학교 비공개 기록물 공개재분류 목록,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"생산
기관","생산
년도",단위업무,기록물철 제목,문서제목,보존기간,공개구분,"공개
제한
유형",공개재분류 결과,,
,,,,,,,,"생산기관
의견
(공개, 
부분공개, 
비공개)","비공개사유
(1호~8호)","비공개 
대상정보"
,,,,,,,,,,작성예시) 
교무처 교무과,2008,처리과서무,일반서무,2009년도 국가공무원 소요정원 제출,3년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,병역관계,공직자의 병역사항 인터넷 신고 안내,5년,비공개,6호,공개,,
교무처 교무과,2008,교원인사(복무)관리,병역관계,병역사항 공개(신고) 대상자 명단 제출,5년,비공개,6호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008 미술과 교과장학지원단 워크숍 참석 협조,5년,비공개,6호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년도 대학설립심사위원회 위원 위촉에 따른 협조 요청,5년,비공개,6호,공개,,
교무처 교무과,2008,교원인사(복무)관리,교육공무원 인사 통계,2008.4.1.자 국립 초·중등학교 교원 정·현원 현황 제출,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,연구실적심사(외부대학),교원승진임용대상자 연구실적물 심사 의뢰,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,연구실적심사(외부대학),연구실적물 심사결과 송부,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,외부심사위원추천(교수공채),2008/2학기 교수초빙 외부심사위원 후보자 추천 의뢰,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년 개정 특수학교 기본교육과정 해설서 협의회 참석의뢰,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년 정기지원 정책연구과제 공모연구자 선정 제2차 심사 의뢰,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008년도 제1차 국제교육진흥원운영심의회 개최,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),2008학년도 수업연구대회(특수)심사위원 위촉 및 수업발표 심사 협조,5년,비공개,5호,공개,,
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),과학과 우수교사 위탁특별연수 대상자 선발전형 면접문항 출제위원 위촉,5년,비공개,5호,비공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),과학과 우수교사 위탁특별연수 대상자 선발전형 면접문항출제 및 면접위원 교체 위촉,5년,비공개,5호,비공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),과학과 우수교사 위탁특별연수 대상자 선발전형 면접위원 위촉,5년,비공개,5호,비공개,6호,"성명, 생년월일 등"
교무처 교무과,2008,교원인사(복무)관리,위원추천(외부),교육기관 전자서명인증센터 위탁운영 사업관련 제안서 기술평가위원 위촉,5년,비공개,5호,공개,,
