교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
1,본부소속,교양교육센터,2009094,비판적사고와소통,2025-1,교양교육센터,3-3-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
2,본부소속,교양교육센터,2006777,CommunicationinEnglish(L＆R)Ⅰ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
3,본부소속,교양교육센터,2006778,CommunicationinEnglish(L＆R)Ⅱ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
4,본부소속,교양교육센터,2006779,CommunicationinEnglish(SW)Ⅰ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
5,본부소속,교양교육센터,2006780,CommunicationinEnglish(SW)Ⅱ,2021-1,교양교육센터,2-2-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,
6,본부소속,교양학부,1001036,기초영어,2011-1,교양학부,3-3-0,S/U,Y,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
7,본부소속,교양학부,2009098,한국어쓰기와발표,2025-1,교양학부,3-3-0,,,,교양필수,기초교양,사고와표현,의사소통역량,,공통기초교양,기초교양필수 ,비판적사고와소통 외국인학생대상대체과목
8,본부소속,교양학부,2006920,한국어문규정,2021-1,교양학부,2-2-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수  ,CommunicationinEnglish 외국인학생대상대체과목
9,본부소속,교양학부,2006943,한국어문화의이해,2021-2,교양학부,2-2-0,,,,교양필수,기초교양 ,사고와표현,의사소통역량,,공통기초교양,기초교양필수  ,CommunicationinEnglish 외국인학생대상대체과목
10,본부소속,교양교육센터,2009095,SW와문제해결,2025-1,교양교육센터,2-2-0,,,,교양필수,기초교양 ,디지털리터러시,가치탐구역량,,공통기초교양,기초교양필수  ,
11,본부소속,교양교육센터,2009096,컴퓨팅적사고,2025-1,교양교육센터,2-2-0,,,,교양필수,기초교양 ,디지털리터러시,가치탐구역량,,공통기초교양,기초교양필수  ,
